# keyinject v1
# pid=91729 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=12155566765283 mach_cont_ticks=42870621903591 wall_epoch_ns=1783020968037040000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
211,0,0,12156100481946,506504186747750,42871155620254,1786298150843916,1783020990275161000
212,0,0,12156103006875,506504291953125,42871158145183,1786298256049291,1783020990380366000
213,0,0,12156105530145,506504397089375,42871160668453,1786298361185541,1783020990485502000
214,0,0,12156107943309,506504497637875,42871163081617,1786298461734041,1783020990586050000
215,0,0,12156110460441,506504602518375,42871165598749,1786298566614541,1783020990690931000
216,0,0,12156112914553,506504704773041,42871168052862,1786298668869250,1783020990793185000
217,0,0,12156115438485,506504809936875,42871170576794,1786298774033083,1783020990898348000
218,0,0,12156117963874,506504915161416,42871173102182,1786298879257583,1783020991003572000
219,0,0,12156120487473,506505020311375,42871175625781,1786298984407541,1783020991108722000
220,0,0,12156122964940,506505123539166,42871178103249,1786299087635375,1783020991211949000
221,0,0,12156125415125,506505225630208,42871180553433,1786299189726375,1783020991314040000
222,0,0,12156127921167,506505330048625,42871183059475,1786299294144791,1783020991418458000
223,0,0,12156130364592,506505431858000,42871185502900,1786299395954166,1783020991520267000
224,0,0,12156132885108,506505536879500,42871188023416,1786299500975666,1783020991625288000
225,0,0,12156135312675,506505638028125,42871190450983,1786299602124291,1783020991726437000
226,0,0,12156137737511,506505739062958,42871192875819,1786299703159125,1783020991827471000
227,0,0,12156140186369,506505841098708,42871195324677,1786299805194875,1783020991929506000
228,0,0,12156142710689,506505946278708,42871197848997,1786299910374875,1783020992034686000
229,0,0,12156145201405,506506050058541,42871200339714,1786300014154750,1783020992138466000
230,0,0,12156147726367,506506155265291,42871202864676,1786300119361500,1783020992243672000
231,0,0,12156150251632,506506260484666,42871205389940,1786300224580833,1783020992348891000
232,0,0,12156152775724,506506365655166,42871207914032,1786300329751333,1783020992454061000
233,0,0,12156155292621,506506470525875,42871210430929,1786300434622041,1783020992558932000
234,0,0,12156157764330,506506573513750,42871212902638,1786300537609916,1783020992661919000
235,0,0,12156160288101,506506678670875,42871215426410,1786300642767083,1783020992767076000
236,0,0,12156162813610,506506783900416,42871217951918,1786300747996583,1783020992872305000
237,0,0,12156165338243,506506889093458,42871220476551,1786300853189625,1783020992977498000
238,0,0,12156167861212,506506994217166,42871222999520,1786300958313333,1783020993082621000
239,0,0,12156170384423,506507099350958,42871225522731,1786301063447125,1783020993187755000
240,0,0,12156172846024,506507201917666,42871227984332,1786301166013833,1783020993290321000
241,0,0,12156175335943,506507305664291,42871230474251,1786301269760458,1783020993394067000
242,0,0,12156177857431,506507410726291,42871232995739,1786301374822458,1783020993499129000
243,0,0,12156180395149,506507516464541,42871235533459,1786301480560791,1783020993604867000
244,0,0,12156182921364,506507621723500,42871238059673,1786301585819708,1783020993710125000
245,0,0,12156185446559,506507726939958,42871240584867,1786301691036125,1783020993815342000
246,0,0,12156187964707,506507831862791,42871243103015,1786301795958958,1783020993920264000
247,0,0,12156190488114,506507937004750,42871245626423,1786301901100958,1783020994025406000
248,0,0,12156192986581,506508041107541,42871248124890,1786302005203750,1783020994129508000
249,0,0,12156195511637,506508146318208,42871250649945,1786302110414375,1783020994234718000
250,0,0,12156198035815,506508251492291,42871253174123,1786302215588458,1783020994339892000
251,0,0,12156200557432,506508356559666,42871255695740,1786302320655833,1783020994444959000
252,0,0,12156203067280,506508461136666,42871258205588,1786302425232833,1783020994549536000
253,0,0,12156205591596,506508566316500,42871260729904,1786302530412666,1783020994654715000
254,0,0,12156208073262,506508669719250,42871263211571,1786302633815458,1783020994758118000
255,0,0,12156210598620,506508774942500,42871265736928,1786302739038666,1783020994863341000
256,0,0,12156213124082,506508880170083,42871268262390,1786302844266250,1783020994968568000
257,0,0,12156215647761,506508985323375,42871270786069,1786302949419541,1783020995073721000
258,0,0,12156218172678,506509090528250,42871273310986,1786303054624416,1783020995178925000
259,0,0,12156220697437,506509195726541,42871275835745,1786303159822708,1783020995284123000
260,0,0,12156223223126,506509300963583,42871278361434,1786303265059750,1783020995389360000
261,0,0,12156225720512,506509405021333,42871280858820,1786303369117500,1783020995493417000
262,0,0,12156228245464,506509510227666,42871283383772,1786303474323833,1783020995598623000
263,0,0,12156230768719,506509615363291,42871285907028,1786303579459500,1783020995703759000
264,0,0,12156233292107,506509720504458,42871288430415,1786303684600625,1783020995808900000
265,0,0,12156235817133,506509825713875,42871290955442,1786303789810083,1783020995914109000
266,0,0,12156238340655,506509930860625,42871293478963,1786303894956791,1783020996019255000
267,0,0,12156240863542,506510035980916,42871296001850,1786304000077083,1783020996124375000
268,0,0,12156243388644,506510141193500,42871298526952,1786304105289666,1783020996229587000
269,0,0,12156245836944,506510243206000,42871300975252,1786304207302166,1783020996331599000
270,0,0,12156248310470,506510346269583,42871303448779,1786304310365791,1783020996434663000
271,0,0,12156250835413,506510451475541,42871305973722,1786304415571750,1783020996539868000
272,0,0,12156253361464,506510556727666,42871308499773,1786304520823875,1783020996645120000
273,0,0,12156255886730,506510661947083,42871311025038,1786304626043250,1783020996750339000
274,0,0,12156258412384,506510767182666,42871313550693,1786304731278875,1783020996855575000
275,0,0,12156260882286,506510870095250,42871316020595,1786304834191458,1783020996958487000
276,0,0,12156263295539,506510970647458,42871318433848,1786304934743666,1783020997059038000
277,0,0,12156265819479,506511075811625,42871320957787,1786305039907791,1783020997164202000
278,0,0,12156268343577,506511180982375,42871323481885,1786305145078541,1783020997269373000
279,0,0,12156270867533,506511286147208,42871326005841,1786305250243375,1783020997374537000
280,0,0,12156273391694,506511391320583,42871328530002,1786305355416750,1783020997479710000
281,0,0,12156275915477,506511496478208,42871331053786,1786305460574416,1783020997584868000
282,0,0,12156278344831,506511597701291,42871333483140,1786305561797500,1783020997686090000
283,0,0,12156280801410,506511700058750,42871335939718,1786305664154916,1783020997788447000
284,0,0,12156283318816,506511804950666,42871338457124,1786305769046833,1783020997893339000
285,0,0,12156285843981,506511910165875,42871340982289,1786305874262041,1783020997998554000
286,0,0,12156288364684,506512015195166,42871343502992,1786305979291333,1783020998103583000
287,0,0,12156290889011,506512120375458,42871346027319,1786306084471625,1783020998208763000
288,0,0,12156293412750,506512225531250,42871348551058,1786306189627416,1783020998313918000
289,0,0,12156295935479,506512330644958,42871351073788,1786306294741166,1783020998419031000
290,0,0,12156298446961,506512435290041,42871353585269,1786306399386208,1783020998523676000
291,0,0,12156300915435,506512538143125,42871356053744,1786306502239333,1783020998626529000
292,0,0,12156303386326,506512641096916,42871358524634,1786306605193083,1783020998729483000
293,0,0,12156305851171,506512743798791,42871360989480,1786306707895000,1783020998832184000
294,0,0,12156308374217,506512848925708,42871363512525,1786306813021875,1783020998937311000
295,0,0,12156310898487,506512954103625,42871366036796,1786306918199833,1783020999042488000
296,0,0,12156313403876,506513058494833,42871368542184,1786307022591000,1783020999146879000
297,0,0,12156315853376,506513160557333,42871370991684,1786307124653500,1783020999248941000
298,0,0,12156318287934,506513261997250,42871373426242,1786307226093416,1783020999350381000
299,0,0,12156320812026,506513367167750,42871375950334,1786307331263916,1783020999455551000
300,0,0,12156323331116,506513472129833,42871378469424,1786307436226000,1783020999560513000
301,0,0,12156325855676,506513577319833,42871380993984,1786307541416000,1783020999665702000
302,0,0,12156328351129,506513681297041,42871383489437,1786307645393208,1783020999769679000
303,0,0,12156330860112,506513785838000,42871385998420,1786307749934166,1783020999874220000
304,0,0,12156333385810,506513891075416,42871388524118,1786307855171583,1783020999979457000
305,0,0,12156335909688,506513996237000,42871391047996,1786307960333166,1783021000084618000
306,0,0,12156338329109,506514097046208,42871393467417,1786308061142375,1783021000185427000
307,0,0,12156340758500,506514198270833,42871395896809,1786308162367041,1783021000286651000
