# keyinject v1
# pid=79268 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11962715517069 mach_cont_ticks=41777559310555 wall_epoch_ns=1782975423938397000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
246,0,0,11963336576193,498472357341375,41778180369679,1740757515403291,1782975449815923000
247,0,0,11963339074229,498472461426208,41778182867715,1740757619488125,1782975449920008000
248,0,0,11963341600363,498472566681791,41778185393850,1740757724743750,1782975450025264000
249,0,0,11963344125813,498472671908875,41778187919300,1740757829970833,1782975450130492000
250,0,0,11963346649838,498472777076583,41778190443325,1740757935138541,1782975450235660000
251,0,0,11963349137570,498472880732083,41778192931056,1740758038794000,1782975450339315000
252,0,0,11963351652328,498472985513666,41778195445815,1740758143575625,1782975450444097000
253,0,0,11963354178067,498473090752791,41778197971553,1740758248814708,1782975450549336000
254,0,0,11963356704528,498473196022000,41778200498015,1740758354083958,1782975450654606000
255,0,0,11963359230753,498473301281375,41778203024240,1740758459343333,1782975450759866000
256,0,0,11963361757317,498473406554875,41778205550803,1740758564616791,1782975450865139000
257,0,0,11963364241612,498473510067166,41778208035099,1740758668129125,1782975450968652000
258,0,0,11963366726391,498473613599625,41778210519878,1740758771661583,1782975451072185000
259,0,0,11963369252029,498473718834541,41778213045515,1740758876896458,1782975451177420000
260,0,0,11963371681496,498473820062333,41778215474983,1740758978124291,1782975451278648000
261,0,0,11963374206862,498473925285916,41778218000349,1740759083347875,1782975451383872000
262,0,0,11963376642296,498474026762333,41778220435782,1740759184824250,1782975451485348000
263,0,0,11963379126327,498474130263625,41778222919814,1740759288325583,1782975451588850000
264,0,0,11963381544185,498474231007708,41778225337671,1740759389069625,1782975451689594000
265,0,0,11963384068604,498474336191833,41778227862090,1740759494253750,1782975451794778000
266,0,0,11963386556642,498474439860083,41778230350129,1740759597922041,1782975451898447000
267,0,0,11963389081654,498474545068916,41778232875141,1740759703130875,1782975452003656000
268,0,0,11963391544693,498474647695541,41778235338180,1740759805757500,1782975452106283000
269,0,0,11963394069993,498474752916375,41778237863479,1740759910978291,1782975452211504000
270,0,0,11963396574761,498474857281708,41778240368247,1740760015343625,1782975452315870000
271,0,0,11963399101542,498474962564250,41778242895028,1740760120626166,1782975452421152000
272,0,0,11963401628676,498475067861500,41778245422163,1740760225923458,1782975452526450000
273,0,0,11963404155101,498475173129208,41778247948587,1740760331191125,1782975452631718000
274,0,0,11963406576827,498475274034458,41778250370313,1740760432096375,1782975452732623000
275,0,0,11963409102902,498475379287583,41778252896388,1740760537349500,1782975452837877000
276,0,0,11963411582069,498475482586208,41778255375556,1740760640648166,1782975452941176000
277,0,0,11963414107941,498475587830875,41778257901427,1740760745892791,1782975453046421000
278,0,0,11963416633499,498475693062458,41778260426986,1740760851124416,1782975453151653000
279,0,0,11963419126400,498475796933333,41778262919886,1740760954995250,1782975453255523000
280,0,0,11963421652316,498475902179833,41778265445802,1740761060241750,1782975453360770000
281,0,0,11963424177359,498476007389958,41778267970845,1740761165451875,1782975453465981000
282,0,0,11963426652131,498476110505458,41778270445618,1740761268567416,1782975453569097000
283,0,0,11963429177309,498476215721208,41778272970795,1740761373783125,1782975453674312000
284,0,0,11963431665217,498476319384041,41778275458704,1740761477446000,1782975453777976000
285,0,0,11963434163662,498476423485916,41778277957148,1740761581547833,1782975453882078000
286,0,0,11963436687918,498476528663250,41778280481405,1740761686725208,1782975453987255000
287,0,0,11963439198286,498476633261916,41778282991772,1740761791323833,1782975454091854000
288,0,0,11963441724713,498476738529708,41778285518200,1740761896591666,1782975454197122000
289,0,0,11963444248803,498476843700125,41778288042289,1740762001762041,1782975454302293000
290,0,0,11963446774844,498476948951833,41778290568331,1740762107013791,1782975454407545000
291,0,0,11963449301426,498477054226083,41778293094912,1740762212288000,1782975454512819000
292,0,0,11963451827768,498477159490333,41778295621255,1740762317552291,1782975454618084000
293,0,0,11963454371243,498477265468458,41778298164730,1740762423530416,1782975454724063000
294,0,0,11963456897744,498477370739333,41778300691230,1740762528801250,1782975454829334000
295,0,0,11963459365793,498477473574708,41778303159280,1740762631636666,1782975454932169000
296,0,0,11963461891891,498477578828791,41778305685378,1740762736890750,1782975455037423000
297,0,0,11963464384764,498477682698500,41778308178250,1740762840760416,1782975455141293000
298,0,0,11963466909426,498477787892750,41778310702912,1740762945954666,1782975455246488000
299,0,0,11963469367332,498477890305500,41778313160819,1740763048367458,1782975455348901000
300,0,0,11963471870779,498477994615791,41778315664265,1740763152677708,1782975455453211000
301,0,0,11963474368493,498478098687208,41778318161979,1740763256749125,1782975455557283000
302,0,0,11963476812056,498478200502333,41778320605543,1740763358564291,1782975455659098000
303,0,0,11963479337663,498478305735958,41778323131150,1740763463797916,1782975455764332000
304,0,0,11963481864356,498478411014833,41778325657842,1740763569076750,1782975455869611000
305,0,0,11963484390557,498478516273208,41778328184043,1740763674335125,1782975455974870000
306,0,0,11963486912265,498478621344375,41778330705752,1740763779406333,1782975456079942000
307,0,0,11963489437874,498478726578083,41778333231360,1740763884640000,1782975456185176000
308,0,0,11963491963364,498478831806833,41778335756850,1740763989868750,1782975456290405000
309,0,0,11963494489260,498478937052500,41778338282746,1740764095114416,1782975456395650000
